0:20:30.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7864N, 111.9938, W, Speed (knots): , 3.50, Angle: 5.05, Altitude: 1484.10, Satellites: 10
0:21:38.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 1.05, Angle: 297.91, Altitude: 1499.30, Satellites: 10
0:21:40.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 1.79, Angle: 259.41, Altitude: 1499.30, Satellites: 10
0:21:43.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 0.94, Angle: 266.37, Altitude: 1499.30, Satellites: 10
0:21:45.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 2.57, Angle: 322.45, Altitude: 1499.10, Satellites: 10
0:21:47.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 3.48, Angle: 333.93, Altitude: 1498.20, Satellites: 10
0:21:49.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 1.22, Angle: 265.30, Altitude: 1497.80, Satellites: 11
0:21:51.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9940, W, Speed (knots): , 0.65, Angle: 124.71, Altitude: 1499.10, Satellites: 11
0:21:53.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 3.54, Angle: 12.69, Altitude: 1499.90, Satellites: 10
0:21:55.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7866N, 111.9939, W, Speed (knots): , 3.28, Angle: 28.04, Altitude: 1501.20, Satellites: 11
0:21:58.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9939, W, Speed (knots): , 3.84, Angle: 29.72, Altitude: 1502.60, Satellites: 11
0:22:0.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 2.85, Angle: 92.82, Altitude: 1503.70, Satellites: 10
0:22:2.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 0.55, Angle: 237.32, Altitude: 1504.10, Satellites: 11
0:22:4.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 0.68, Angle: 264.79, Altitude: 1504.40, Satellites: 10
0:22:7.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9939, W, Speed (knots): , 1.77, Angle: 250.81, Altitude: 1506.10, Satellites: 10
0:22:9.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 2.99, Angle: 75.15, Altitude: 1506.30, Satellites: 10
0:22:11.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 2.95, Angle: 64.59, Altitude: 1505.80, Satellites: 10
0:22:13.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9938, W, Speed (knots): , 1.67, Angle: 62.47, Altitude: 1505.00, Satellites: 10
0:22:15.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 2.06, Angle: 68.49, Altitude: 1505.30, Satellites: 10
0:22:18.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 1.00, Angle: 70.71, Altitude: 1505.90, Satellites: 10
0:22:20.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 0.82, Angle: 241.41, Altitude: 1506.50, Satellites: 10
0:22:23.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 1.54, Angle: 100.43, Altitude: 1508.60, Satellites: 10
0:22:25.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 0.80, Angle: 102.53, Altitude: 1509.60, Satellites: 10
0:22:27.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 0.34, Angle: 87.95, Altitude: 1510.90, Satellites: 10
0:22:29.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 0.57, Angle: 41.90, Altitude: 1510.90, Satellites: 10
0:22:31.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7867N, 111.9937, W, Speed (knots): , 2.64, Angle: 22.10, Altitude: 1510.50, Satellites: 11
0:22:34.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 3.54, Angle: 32.18, Altitude: 1509.80, Satellites: 11
0:22:36.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 3.14, Angle: 352.43, Altitude: 1510.40, Satellites: 10
0:22:38.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 0.50, Angle: 211.20, Altitude: 1511.00, Satellites: 10
0:22:40.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 0.36, Angle: 99.79, Altitude: 1511.80, Satellites: 10
0:22:43.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 0.66, Angle: 277.49, Altitude: 1512.20, Satellites: 10
0:22:45.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9937, W, Speed (knots): , 3.17, Angle: 256.18, Altitude: 1512.90, Satellites: 10
0:22:48.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 1.02, Angle: 267.51, Altitude: 1513.60, Satellites: 10
0:22:50.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 0.61, Angle: 27.67, Altitude: 1512.10, Satellites: 10
0:22:52.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 0.85, Angle: 310.55, Altitude: 1511.40, Satellites: 10
0:22:54.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 0.70, Angle: 310.51, Altitude: 1510.70, Satellites: 10
0:22:56.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 0.59, Angle: 33.35, Altitude: 1510.10, Satellites: 10
0:22:59.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 0.81, Angle: 60.19, Altitude: 1510.00, Satellites: 10
0:23:1.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 3.10, Angle: 16.67, Altitude: 1509.80, Satellites: 10
0:23:3.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7868N, 111.9938, W, Speed (knots): , 3.29, Angle: 11.24, Altitude: 1509.40, Satellites: 10
0:23:5.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9937, W, Speed (knots): , 1.36, Angle: 82.21, Altitude: 1510.00, Satellites: 10
0:23:8.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9937, W, Speed (knots): , 0.09, Angle: 327.95, Altitude: 1510.70, Satellites: 10
0:23:10.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9937, W, Speed (knots): , 2.30, Angle: 105.74, Altitude: 1512.00, Satellites: 10
0:23:12.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9937, W, Speed (knots): , 1.99, Angle: 90.74, Altitude: 1513.60, Satellites: 10
0:23:14.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9937, W, Speed (knots): , 2.00, Angle: 89.74, Altitude: 1514.60, Satellites: 10
0:23:17.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 2.98, Angle: 9.61, Altitude: 1515.50, Satellites: 10
0:23:19.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 3.45, Angle: 353.25, Altitude: 1515.60, Satellites: 10
0:23:21.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.30, Angle: 22.78, Altitude: 1515.30, Satellites: 10
0:23:23.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 0.87, Angle: 108.85, Altitude: 1515.90, Satellites: 10
0:23:25.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 0.19, Angle: 93.24, Altitude: 1516.60, Satellites: 10
0:23:28.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.05, Angle: 87.84, Altitude: 1517.90, Satellites: 10
0:23:30.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.78, Angle: 100.46, Altitude: 1518.80, Satellites: 10
0:23:33.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 0.65, Angle: 90.55, Altitude: 1519.50, Satellites: 10
0:23:35.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.01, Angle: 104.04, Altitude: 1520.30, Satellites: 10
0:23:38.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.05, Angle: 275.80, Altitude: 1521.10, Satellites: 10
0:23:40.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.82, Angle: 259.72, Altitude: 1522.30, Satellites: 10
0:23:42.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7869N, 111.9936, W, Speed (knots): , 1.86, Angle: 353.20, Altitude: 1524.10, Satellites: 10
0:23:44.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9936, W, Speed (knots): , 2.29, Angle: 23.09, Altitude: 1526.70, Satellites: 10
0:23:47.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9936, W, Speed (knots): , 0.31, Angle: 266.88, Altitude: 1529.40, Satellites: 10
0:23:49.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9936, W, Speed (knots): , 1.86, Angle: 17.53, Altitude: 1531.20, Satellites: 10
0:23:51.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9937, W, Speed (knots): , 1.77, Angle: 257.88, Altitude: 1532.00, Satellites: 10
0:23:53.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9937, W, Speed (knots): , 0.96, Angle: 278.96, Altitude: 1532.70, Satellites: 10
0:23:55.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9937, W, Speed (knots): , 0.89, Angle: 313.58, Altitude: 1532.40, Satellites: 10
0:23:58.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9937, W, Speed (knots): , 3.37, Angle: 288.12, Altitude: 1530.40, Satellites: 10
0:24:0.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7870N, 111.9938, W, Speed (knots): , 3.88, Angle: 331.73, Altitude: 1529.60, Satellites: 10
0:24:2.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9938, W, Speed (knots): , 4.50, Angle: 325.64, Altitude: 1528.50, Satellites: 10
0:24:4.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9938, W, Speed (knots): , 3.29, Angle: 299.43, Altitude: 1527.20, Satellites: 10
0:24:6.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 1.60, Angle: 288.89, Altitude: 1526.60, Satellites: 10
0:24:9.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 2.25, Angle: 273.19, Altitude: 1526.70, Satellites: 10
0:24:11.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 1.23, Angle: 285.36, Altitude: 1526.30, Satellites: 10
0:24:14.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 0.58, Angle: 350.76, Altitude: 1525.70, Satellites: 10
0:24:16.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 0.97, Angle: 301.12, Altitude: 1524.80, Satellites: 10
0:24:18.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 0.41, Angle: 324.25, Altitude: 1524.50, Satellites: 10
0:24:20.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 0.76, Angle: 305.82, Altitude: 1523.70, Satellites: 10
0:24:22.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7871N, 111.9939, W, Speed (knots): , 0.82, Angle: 307.77, Altitude: 1522.60, Satellites: 10
0:24:24.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 0.43, Angle: 315.33, Altitude: 1522.10, Satellites: 10
0:24:26.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 3.36, Angle: 4.44, Altitude: 1521.60, Satellites: 10
0:24:28.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 3.14, Angle: 6.11, Altitude: 1521.30, Satellites: 10
0:24:30.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 0.73, Angle: 286.79, Altitude: 1521.00, Satellites: 10
0:24:33.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 1.81, Angle: 272.62, Altitude: 1520.30, Satellites: 10
0:24:35.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 0.67, Angle: 273.47, Altitude: 1520.50, Satellites: 10
0:24:37.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 1.69, Angle: 78.45, Altitude: 1520.80, Satellites: 10
0:24:39.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 1.44, Angle: 84.26, Altitude: 1521.40, Satellites: 10
0:24:41.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 1.88, Angle: 103.31, Altitude: 1522.20, Satellites: 11
0:24:43.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7872N, 111.9939, W, Speed (knots): , 3.79, Angle: 35.54, Altitude: 1523.70, Satellites: 10
0:24:45.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 3.06, Angle: 36.35, Altitude: 1525.70, Satellites: 11
0:24:48.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 2.78, Angle: 5.42, Altitude: 1526.20, Satellites: 11
0:24:50.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 1.14, Angle: 60.86, Altitude: 1526.00, Satellites: 11
0:24:53.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.17, Angle: 30.00, Altitude: 1526.80, Satellites: 10
0:24:55.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.67, Angle: 208.03, Altitude: 1528.40, Satellites: 10
0:24:57.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.09, Angle: 133.81, Altitude: 1529.70, Satellites: 11
0:24:59.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.90, Angle: 110.96, Altitude: 1530.50, Satellites: 11
0:25:2.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.38, Angle: 296.55, Altitude: 1530.90, Satellites: 11
0:25:4.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.94, Angle: 65.20, Altitude: 1531.20, Satellites: 11
0:25:6.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 0.78, Angle: 302.78, Altitude: 1530.70, Satellites: 11
0:25:9.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 4.05, Angle: 337.87, Altitude: 1529.20, Satellites: 9
0:25:11.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7873N, 111.9938, W, Speed (knots): , 3.06, Angle: 12.50, Altitude: 1528.50, Satellites: 11
0:25:13.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9938, W, Speed (knots): , 3.14, Angle: 31.25, Altitude: 1528.90, Satellites: 9
0:25:15.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9938, W, Speed (knots): , 1.17, Angle: 27.31, Altitude: 1529.60, Satellites: 10
0:25:18.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9938, W, Speed (knots): , 1.66, Angle: 260.45, Altitude: 1530.40, Satellites: 10
0:25:20.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9938, W, Speed (knots): , 1.13, Angle: 259.77, Altitude: 1530.10, Satellites: 10
0:25:22.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9938, W, Speed (knots): , 3.50, Angle: 327.82, Altitude: 1530.10, Satellites: 10
0:25:24.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7874N, 111.9939, W, Speed (knots): , 3.20, Angle: 346.69, Altitude: 1530.30, Satellites: 10
0:25:26.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9939, W, Speed (knots): , 3.01, Angle: 344.24, Altitude: 1529.70, Satellites: 10
0:25:29.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9939, W, Speed (knots): , 2.22, Angle: 332.70, Altitude: 1528.00, Satellites: 10
0:25:31.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9939, W, Speed (knots): , 0.52, Angle: 305.38, Altitude: 1527.80, Satellites: 10
0:25:33.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9939, W, Speed (knots): , 2.58, Angle: 268.52, Altitude: 1527.90, Satellites: 10
0:25:35.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9939, W, Speed (knots): , 3.23, Angle: 315.82, Altitude: 1529.30, Satellites: 10
0:25:38.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7875N, 111.9940, W, Speed (knots): , 2.91, Angle: 325.25, Altitude: 1528.50, Satellites: 10
0:25:40.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9940, W, Speed (knots): , 2.86, Angle: 330.04, Altitude: 1528.40, Satellites: 10
0:25:43.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9940, W, Speed (knots): , 2.57, Angle: 334.66, Altitude: 1529.00, Satellites: 10
0:25:45.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9940, W, Speed (knots): , 1.59, Angle: 260.27, Altitude: 1530.50, Satellites: 10
0:25:48.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9940, W, Speed (knots): , 0.69, Angle: 256.16, Altitude: 1532.00, Satellites: 10
0:25:50.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9941, W, Speed (knots): , 2.78, Angle: 341.82, Altitude: 1532.80, Satellites: 10
0:25:53.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9941, W, Speed (knots): , 2.82, Angle: 0.67, Altitude: 1534.20, Satellites: 10
0:25:55.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7876N, 111.9941, W, Speed (knots): , 2.47, Angle: 358.75, Altitude: 1534.70, Satellites: 10
0:25:57.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7877N, 111.9941, W, Speed (knots): , 3.12, Angle: 14.72, Altitude: 1535.10, Satellites: 10
0:25:59.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7877N, 111.9941, W, Speed (knots): , 0.59, Angle: 55.02, Altitude: 1534.90, Satellites: 10
0:26:2.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7877N, 111.9941, W, Speed (knots): , 1.16, Angle: 272.80, Altitude: 1535.70, Satellites: 10
0:26:4.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7877N, 111.9941, W, Speed (knots): , 2.74, Angle: 326.22, Altitude: 1536.60, Satellites: 10
0:26:7.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7877N, 111.9941, W, Speed (knots): , 2.71, Angle: 309.61, Altitude: 1539.50, Satellites: 10
0:26:9.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7878N, 111.9941, W, Speed (knots): , 2.74, Angle: 310.97, Altitude: 1541.20, Satellites: 10
0:26:11.0, Date: 3/4/24, Fix: 1,  quality: 2, Location: 43.7878N, 111.9942, W, Speed (knots): , 2.63, Angle: 320.24, Altitude: 1542.40, Satellites: 10
